model,modality,denominator,rows,successes,failures,GenSuccess@Gold,Q_Gold,Q_Gold|Resp,primary_aware_complete,primary_aware_mean_failures_zero,primary_aware_ci_low,primary_aware_ci_high
baichuan_omni_1_5,audio-only,128,128,128,0,1.0,8.984375,8.984375,128,8.984375,6.4453125,11.785481770833325
baichuan_omni_1_5,audio-video,128,128,128,0,1.0,18.359375,18.359375,128,18.359375,14.322916666666668,22.8515625
baichuan_omni_1_5,video-only,128,128,128,0,1.0,16.731770833333332,16.731770833333332,128,16.731770833333332,12.890625,20.572916666666668
gemini_2_5_flash,visual-only,128,128,128,0,1.0,21.354166666666668,21.354166666666668,128,21.354166666666668,17.643229166666668,25.260416666666668
gemini_2_5_pro,visual-only,128,128,128,0,1.0,15.625,15.625,128,15.625,11.9140625,19.66308593749999
gemini_3_flash_preview,visual-only,128,128,128,0,1.0,13.932291666666666,13.932291666666666,128,13.932291666666666,10.677083333333334,17.317708333333332
gemini_3_pro_preview,visual-only,128,128,125,3,0.9765625,21.549479166666668,22.066666666666666,125,21.549479166666668,17.967122395833332,25.130208333333332
gpt4o,audio-video,128,128,127,1,0.9921875,77.1484375,77.75590551181102,127,77.1484375,72.72135416666667,81.38020833333333
gpt4o,frames-only,128,128,128,0,1.0,26.106770833333332,26.106770833333332,128,26.106770833333332,21.809895833333332,30.470377604166657
gpt4o,transcript-only,128,128,128,0,1.0,78.97135416666667,78.97135416666667,128,78.97135416666667,74.4140625,83.33333333333333
omnivinci,audio-only,128,128,128,0,1.0,42.122395833333336,42.122395833333336,128,42.122395833333336,36.912434895833336,47.4609375
omnivinci,audio-video,128,128,128,0,1.0,40.8203125,40.8203125,128,40.8203125,35.87076822916667,46.223958333333336
omnivinci,video-only,128,128,128,0,1.0,20.833333333333336,20.833333333333336,128,20.833333333333336,17.2509765625,24.674479166666668
qwen2_5_omni,audio-only,128,128,128,0,1.0,41.080729166666664,41.080729166666664,128,41.080729166666664,35.935872395833336,45.963541666666664
qwen2_5_omni,audio-video,128,128,128,0,1.0,36.002604166666664,36.002604166666664,128,36.002604166666664,32.747395833333336,39.322916666666664
qwen2_5_omni,video-only,128,128,128,0,1.0,1.9531250000000002,1.9531250000000002,128,1.9531250000000002,1.1067708333333335,2.9296875
qwen3_omni,audio-only,128,128,128,0,1.0,59.505208333333336,59.505208333333336,128,59.505208333333336,53.645833333333336,65.29947916666667
qwen3_omni,audio-video,128,128,128,0,1.0,44.466145833333336,44.466145833333336,128,44.466145833333336,38.8671875,50.06673177083333
qwen3_omni,video-only,128,128,128,0,1.0,18.75,18.75,128,18.75,15.364583333333334,22.395833333333332
qwen3_omni_thinking,audio-only,128,128,128,0,1.0,66.73177083333333,66.73177083333333,128,66.73177083333333,61.458333333333336,71.94010416666667
qwen3_omni_thinking,audio-video,128,128,128,0,1.0,67.7734375,67.7734375,128,67.7734375,62.693684895833336,72.8515625
qwen3_omni_thinking,video-only,128,128,124,4,0.96875,26.627604166666668,27.486559139784948,124,26.627604166666668,22.200520833333332,31.119791666666668
vita_1_5,audio-only,128,128,128,0,1.0,51.236979166666664,51.236979166666664,128,51.236979166666664,45.768229166666664,56.90266927083332
vita_1_5,audio-video,128,128,128,0,1.0,48.372395833333336,48.372395833333336,128,48.372395833333336,42.578125,54.036458333333336
vita_1_5,video-only,128,128,128,0,1.0,22.135416666666668,22.135416666666668,128,22.135416666666668,17.706705729166664,26.822916666666668
