source,model,reference_mode,judge,n,mean,median
ensemble_response_scores,baichuan_omni_1_5,reference-aware,gemini_2_5_pro,16,7.8125,0.0
ensemble_response_scores,baichuan_omni_1_5,reference-aware,gpt4o,16,26.5625,12.5
ensemble_response_scores,baichuan_omni_1_5,reference-aware,qwen3_omni,16,23.4375,25.0
ensemble_response_scores,gemini_2_5_flash,reference-aware,gemini_2_5_pro,55,19.545454545454547,0.0
ensemble_response_scores,gemini_2_5_flash,reference-aware,gpt4o,55,25.90909090909091,25.0
ensemble_response_scores,gemini_2_5_flash,reference-aware,qwen3_omni,55,21.818181818181817,25.0
ensemble_response_scores,gemini_2_5_pro,reference-aware,gemini_2_5_pro,62,9.274193548387096,0.0
ensemble_response_scores,gemini_2_5_pro,reference-aware,gpt4o,62,14.919354838709678,0.0
ensemble_response_scores,gemini_2_5_pro,reference-aware,qwen3_omni,62,17.338709677419356,25.0
ensemble_response_scores,gemini_3_flash_preview,reference-aware,gemini_2_5_pro,44,19.318181818181817,0.0
ensemble_response_scores,gemini_3_flash_preview,reference-aware,gpt4o,44,17.045454545454547,0.0
ensemble_response_scores,gemini_3_flash_preview,reference-aware,qwen3_omni,44,19.318181818181817,0.0
ensemble_response_scores,gemini_3_pro_preview,reference-aware,gemini_2_5_pro,41,22.5609756097561,0.0
ensemble_response_scores,gemini_3_pro_preview,reference-aware,gpt4o,41,27.4390243902439,25.0
ensemble_response_scores,gemini_3_pro_preview,reference-aware,qwen3_omni,41,28.658536585365855,25.0
ensemble_response_scores,gpt4o,reference-aware,gemini_2_5_pro,39,67.94871794871794,100.0
ensemble_response_scores,gpt4o,reference-aware,gpt4o,39,85.8974358974359,100.0
ensemble_response_scores,gpt4o,reference-aware,qwen3_omni,39,78.84615384615384,75.0
ensemble_response_scores,omnivinci,reference-aware,gemini_2_5_pro,90,26.38888888888889,0.0
ensemble_response_scores,omnivinci,reference-aware,gpt4o,90,50.0,50.0
ensemble_response_scores,omnivinci,reference-aware,qwen3_omni,90,44.72222222222222,25.0
ensemble_response_scores,qwen2_5_omni,reference-aware,gemini_2_5_pro,87,4.022988505747127,0.0
ensemble_response_scores,qwen2_5_omni,reference-aware,gpt4o,87,52.01149425287356,50.0
ensemble_response_scores,qwen2_5_omni,reference-aware,qwen3_omni,87,43.39080459770115,50.0
ensemble_response_scores,qwen3_omni,reference-aware,gemini_2_5_pro,81,26.54320987654321,0.0
ensemble_response_scores,qwen3_omni,reference-aware,gpt4o,81,57.71604938271605,50.0
ensemble_response_scores,qwen3_omni,reference-aware,qwen3_omni,81,43.51851851851852,25.0
ensemble_response_scores,qwen3_omni_thinking,reference-aware,gemini_2_5_pro,60,53.333333333333336,75.0
ensemble_response_scores,qwen3_omni_thinking,reference-aware,gpt4o,60,73.75,75.0
ensemble_response_scores,qwen3_omni_thinking,reference-aware,qwen3_omni,60,67.5,75.0
ensemble_response_scores,vita_1_5,reference-aware,gemini_2_5_pro,113,35.176991150442475,25.0
ensemble_response_scores,vita_1_5,reference-aware,gpt4o,113,53.76106194690266,50.0
ensemble_response_scores,vita_1_5,reference-aware,qwen3_omni,113,60.84070796460177,75.0
how_gold,baichuan_omni_1_5,reference-aware,gemini_2_5_pro,382,9.031413612565444,0.0
how_gold,baichuan_omni_1_5,reference-aware,gpt4o,382,17.277486910994764,0.0
how_gold,baichuan_omni_1_5,reference-aware,qwen3_omni,382,17.146596858638745,0.0
how_gold,gemini_2_5_flash,reference-aware,gemini_2_5_pro,108,10.648148148148149,0.0
how_gold,gemini_2_5_flash,reference-aware,gpt4o,108,28.47222222222222,25.0
how_gold,gemini_2_5_flash,reference-aware,qwen3_omni,108,26.85185185185185,25.0
how_gold,gemini_2_5_pro,reference-aware,gemini_2_5_pro,124,11.89516129032258,0.0
how_gold,gemini_2_5_pro,reference-aware,gpt4o,124,17.137096774193548,0.0
how_gold,gemini_2_5_pro,reference-aware,qwen3_omni,124,19.35483870967742,25.0
how_gold,gemini_3_flash_preview,reference-aware,gemini_2_5_pro,126,7.936507936507937,0.0
how_gold,gemini_3_flash_preview,reference-aware,gpt4o,126,16.071428571428573,0.0
how_gold,gemini_3_flash_preview,reference-aware,qwen3_omni,126,16.071428571428573,0.0
how_gold,gemini_3_pro_preview,reference-aware,gemini_2_5_pro,123,15.65040650406504,0.0
how_gold,gemini_3_pro_preview,reference-aware,gpt4o,123,25.40650406504065,25.0
how_gold,gemini_3_pro_preview,reference-aware,qwen3_omni,123,24.390243902439025,25.0
how_gold,gpt4o,reference-aware,gemini_2_5_pro,373,50.26809651474531,50.0
how_gold,gpt4o,reference-aware,gpt4o,373,67.49329758713137,75.0
how_gold,gpt4o,reference-aware,qwen3_omni,373,62.265415549597854,75.0
how_gold,omnivinci,reference-aware,gemini_2_5_pro,344,17.877906976744185,0.0
how_gold,omnivinci,reference-aware,gpt4o,344,42.65988372093023,50.0
how_gold,omnivinci,reference-aware,qwen3_omni,344,38.372093023255815,25.0
how_gold,qwen2_5_omni,reference-aware,gemini_2_5_pro,383,8.877284595300262,0.0
how_gold,qwen2_5_omni,reference-aware,gpt4o,383,36.684073107049606,50.0
how_gold,qwen2_5_omni,reference-aware,qwen3_omni,383,33.35509138381201,25.0
how_gold,qwen3_omni,reference-aware,gemini_2_5_pro,278,27.967625899280577,0.0
how_gold,qwen3_omni,reference-aware,gpt4o,278,49.010791366906474,50.0
how_gold,qwen3_omni,reference-aware,qwen3_omni,278,43.16546762589928,25.0
how_gold,qwen3_omni_thinking,reference-aware,gemini_2_5_pro,307,42.91530944625407,25.0
how_gold,qwen3_omni_thinking,reference-aware,gpt4o,307,57.57328990228013,50.0
how_gold,qwen3_omni_thinking,reference-aware,qwen3_omni,307,53.82736156351792,50.0
how_gold,vita_1_5,reference-aware,gemini_2_5_pro,304,29.6875,0.0
how_gold,vita_1_5,reference-aware,gpt4o,304,38.98026315789474,25.0
how_gold,vita_1_5,reference-aware,qwen3_omni,304,44.73684210526316,25.0
