metric,model,base_rank,metric_rank,rank_shift,metric_mean
reference-aware:gemini_2_5_pro,baichuan_omni_1_5,9,10,1,7.8125
reference-aware:gemini_2_5_pro,gemini_2_5_flash,8,7,-1,19.545454545454547
reference-aware:gemini_2_5_pro,gemini_2_5_pro,11,9,-2,9.274193548387096
reference-aware:gemini_2_5_pro,gemini_3_flash_preview,10,8,-2,19.318181818181817
reference-aware:gemini_2_5_pro,gemini_3_pro_preview,7,6,-1,22.5609756097561
reference-aware:gemini_2_5_pro,gpt4o,1,1,0,67.94871794871794
reference-aware:gemini_2_5_pro,omnivinci,5,5,0,26.38888888888889
reference-aware:gemini_2_5_pro,qwen2_5_omni,6,11,5,4.022988505747127
reference-aware:gemini_2_5_pro,qwen3_omni,4,4,0,26.54320987654321
reference-aware:gemini_2_5_pro,qwen3_omni_thinking,2,2,0,53.333333333333336
reference-aware:gemini_2_5_pro,vita_1_5,3,3,0,35.176991150442475
reference-aware:gpt4o,baichuan_omni_1_5,9,8,-1,26.5625
reference-aware:gpt4o,gemini_2_5_flash,8,9,1,25.90909090909091
reference-aware:gpt4o,gemini_2_5_pro,11,11,0,14.919354838709678
reference-aware:gpt4o,gemini_3_flash_preview,10,10,0,17.045454545454547
reference-aware:gpt4o,gemini_3_pro_preview,7,7,0,27.4390243902439
reference-aware:gpt4o,gpt4o,1,1,0,85.8974358974359
reference-aware:gpt4o,omnivinci,5,6,1,50.0
reference-aware:gpt4o,qwen2_5_omni,6,5,-1,52.01149425287356
reference-aware:gpt4o,qwen3_omni,4,3,-1,57.71604938271605
reference-aware:gpt4o,qwen3_omni_thinking,2,2,0,73.75
reference-aware:gpt4o,vita_1_5,3,4,1,53.76106194690266
reference-aware:primary-mean,baichuan_omni_1_5,9,9,0,19.270833333333336
reference-aware:primary-mean,gemini_2_5_flash,8,8,0,22.424242424242426
reference-aware:primary-mean,gemini_2_5_pro,11,11,0,13.844086021505376
reference-aware:primary-mean,gemini_3_flash_preview,10,10,0,18.560606060606062
reference-aware:primary-mean,gemini_3_pro_preview,7,7,0,26.21951219512195
reference-aware:primary-mean,gpt4o,1,1,0,77.56410256410257
reference-aware:primary-mean,omnivinci,5,5,0,40.370370370370374
reference-aware:primary-mean,qwen2_5_omni,6,6,0,33.14176245210728
reference-aware:primary-mean,qwen3_omni,4,4,0,42.592592592592595
reference-aware:primary-mean,qwen3_omni_thinking,2,2,0,64.86111111111111
reference-aware:primary-mean,vita_1_5,3,3,0,49.926253687315636
reference-aware:qwen3_omni,baichuan_omni_1_5,9,8,-1,23.4375
reference-aware:qwen3_omni,gemini_2_5_flash,8,9,1,18.636363636363637
reference-aware:qwen3_omni,gemini_2_5_pro,11,11,0,12.903225806451612
reference-aware:qwen3_omni,gemini_3_flash_preview,10,10,0,16.477272727272727
reference-aware:qwen3_omni,gemini_3_pro_preview,7,7,0,25.0
reference-aware:qwen3_omni,gpt4o,1,1,0,75.64102564102564
reference-aware:qwen3_omni,omnivinci,5,6,1,39.166666666666664
reference-aware:qwen3_omni,qwen2_5_omni,6,5,-1,43.39080459770115
reference-aware:qwen3_omni,qwen3_omni,4,4,0,43.51851851851852
reference-aware:qwen3_omni,qwen3_omni_thinking,2,2,0,67.5
reference-aware:qwen3_omni,vita_1_5,3,3,0,60.84070796460177
