combo,model,n,mean,median,rank,rank_shift
primary,baichuan_omni_1_5,16,19.270833333333336,12.5,9,0
primary,gemini_2_5_flash,55,21.363636363636363,8.333333333333334,8,0
primary,gemini_2_5_pro,62,12.365591397849462,8.333333333333334,11,0
primary,gemini_3_flash_preview,44,17.613636363636363,8.333333333333334,10,0
primary,gemini_3_pro_preview,41,25.0,16.666666666666668,7,0
primary,gpt4o,39,76.4957264957265,91.66666666666667,1,0
primary,omnivinci,90,38.51851851851852,29.166666666666668,5,0
primary,qwen2_5_omni,87,33.14176245210728,33.333333333333336,6,0
primary,qwen3_omni,81,42.592592592592595,33.333333333333336,4,0
primary,qwen3_omni_thinking,60,64.86111111111111,66.66666666666667,2,0
primary,vita_1_5,113,49.926253687315636,50.0,3,0
gpt4o+gemini_2_5_pro,baichuan_omni_1_5,16,17.1875,12.5,10,1
gpt4o+gemini_2_5_pro,gemini_2_5_flash,55,22.727272727272727,12.5,8,0
gpt4o+gemini_2_5_pro,gemini_2_5_pro,62,12.096774193548388,0.0,11,0
gpt4o+gemini_2_5_pro,gemini_3_flash_preview,44,18.181818181818183,0.0,9,-1
gpt4o+gemini_2_5_pro,gemini_3_pro_preview,41,25.0,12.5,7,0
gpt4o+gemini_2_5_pro,gpt4o,39,76.92307692307692,100.0,1,0
gpt4o+gemini_2_5_pro,omnivinci,90,38.19444444444444,25.0,5,0
gpt4o+gemini_2_5_pro,qwen2_5_omni,87,28.017241379310345,25.0,6,0
gpt4o+gemini_2_5_pro,qwen3_omni,81,42.129629629629626,25.0,4,0
gpt4o+gemini_2_5_pro,qwen3_omni_thinking,60,63.541666666666664,75.0,2,0
gpt4o+gemini_2_5_pro,vita_1_5,113,44.469026548672566,37.5,3,0
gpt4o+qwen3_omni,baichuan_omni_1_5,16,25.0,18.75,8,-1
gpt4o+qwen3_omni,gemini_2_5_flash,55,22.272727272727273,12.5,9,1
gpt4o+qwen3_omni,gemini_2_5_pro,62,13.911290322580646,0.0,11,0
gpt4o+qwen3_omni,gemini_3_flash_preview,44,16.761363636363637,0.0,10,0
gpt4o+qwen3_omni,gemini_3_pro_preview,41,26.21951219512195,25.0,7,0
gpt4o+qwen3_omni,gpt4o,39,80.76923076923077,87.5,1,0
gpt4o+qwen3_omni,omnivinci,90,44.583333333333336,37.5,6,1
gpt4o+qwen3_omni,qwen2_5_omni,87,47.701149425287355,50.0,5,-1
gpt4o+qwen3_omni,qwen3_omni,81,50.617283950617285,50.0,4,0
gpt4o+qwen3_omni,qwen3_omni_thinking,60,70.625,75.0,2,0
gpt4o+qwen3_omni,vita_1_5,113,57.30088495575221,62.5,3,0
gemini_2_5_pro+qwen3_omni,baichuan_omni_1_5,16,15.625,12.5,10,1
gemini_2_5_pro+qwen3_omni,gemini_2_5_flash,55,19.09090909090909,12.5,8,0
gemini_2_5_pro+qwen3_omni,gemini_2_5_pro,62,11.088709677419354,0.0,11,0
gemini_2_5_pro+qwen3_omni,gemini_3_flash_preview,44,17.897727272727273,0.0,9,-1
gemini_2_5_pro+qwen3_omni,gemini_3_pro_preview,41,23.78048780487805,12.5,6,-1
gemini_2_5_pro+qwen3_omni,gpt4o,39,71.7948717948718,87.5,1,0
gemini_2_5_pro+qwen3_omni,omnivinci,90,32.77777777777778,25.0,5,0
gemini_2_5_pro+qwen3_omni,qwen2_5_omni,87,23.70689655172414,25.0,7,1
gemini_2_5_pro+qwen3_omni,qwen3_omni,81,35.03086419753087,12.5,4,0
gemini_2_5_pro+qwen3_omni,qwen3_omni_thinking,60,60.416666666666664,62.5,2,0
gemini_2_5_pro+qwen3_omni,vita_1_5,113,48.008849557522126,37.5,3,0
