model,display_model,who_n,who_correct,who_accuracy,who_macro_f1,who_invalid,who_failures,who_parse_failures,when_n,when_tp,when_fp,when_tn,when_fn,when_gold_yes,when_gold_no,when_accuracy,when_precision_yes,when_recall_yes,when_f1_yes,when_macro_f1,when_invalid,when_failures,when_parse_failures,triggered,responses,coverage_plus,q_ensemble,q_ensemble_ci_low,q_ensemble_ci_high,q_joint_ensemble,q_no_family,interface,q_gold,gen_success_gold,q_gold_resp
gpt4o,GPT-4o,2000,701,35.05,31.184205577225555,13,12,1,200,39,10,62,89,128,72,50.5,79.59183673469387,30.46875,44.06779661016949,49.83658888804439,0,0,0,39,39,30.46875,76.4957264957265,67.3076923076923,85.25641025641026,23.307291666666668,71.7948717948718,Cascade,77.1484375,0.9921875,77.75590551181102
gemini_2_5_pro,Gemini 2.5 Pro,2000,798,39.9,39.621044132987095,6,6,0,200,62,28,43,66,128,72,52.5,68.88888888888889,48.4375,56.88073394495413,52.197273049825135,1,1,0,62,62,48.4375,12.365591397849464,8.198924731182796,17.06989247311828,5.989583333333334,13.911290322580646,Visual-only,15.625,1.0,15.625
gemini_2_5_flash,Gemini 2.5 Flash,2000,674,33.7,33.63606343041651,5,3,2,200,55,16,56,73,128,72,55.5,77.46478873239437,42.96875,55.27638190954774,55.49888747218681,0,0,0,55,55,42.96875,21.363636363636363,15.303030303030303,27.87878787878788,9.1796875,22.272727272727273,Visual-only,21.354166666666668,1.0,21.354166666666668
gemini_3_flash_preview,Gemini 3 Flash Preview,2000,962,48.1,47.882508409536925,7,6,1,200,44,16,55,84,128,72,49.5,73.33333333333333,34.375,46.808510638297875,49.47060603004941,1,1,0,44,44,34.375,17.613636363636363,10.984848484848486,25.0,6.0546875,16.761363636363637,Visual-only,13.932291666666666,1.0,13.932291666666666
gemini_3_pro_preview,Gemini 3 Pro Preview,2000,908,45.4,45.20445213463031,10,10,0,200,41,9,63,87,128,72,52.0,82.0,32.03125,46.06741573033708,51.412086243546916,0,0,0,41,41,32.03125,25.0,18.29268292682927,32.113821138211385,8.0078125,26.21951219512195,Visual-only,21.549479166666668,0.9765625,22.066666666666666
qwen3_omni,Qwen3-Omni,2000,1493,74.65,74.34376255552827,0,0,0,200,81,37,35,47,128,72,58.0,68.64406779661017,63.28125,65.85365853658537,55.654101995565405,0,0,0,81,81,63.28125,42.592592592592595,35.390946502057616,49.58847736625515,26.953125,42.129629629629626,Native AV,44.466145833333336,1.0,44.466145833333336
qwen3_omni_thinking,Qwen3-Omni-Thinking,2000,1353,67.65,67.93948670118995,27,0,27,200,60,20,52,68,128,72,56.0,75.0,46.875,57.692307692307686,55.92948717948718,0,0,0,60,60,46.875,64.86111111111111,57.5,72.36111111111111,30.403645833333336,63.541666666666664,Native AV,67.7734375,1.0,67.7734375
qwen2_5_omni,Qwen2.5-Omni,2000,819,40.95,39.49736486583245,0,0,0,200,87,38,34,41,128,72,60.5,69.6,67.96875,68.77470355731225,57.5166034793364,0,0,0,87,87,67.96875,33.14176245210728,29.597701149425287,36.877394636015325,22.526041666666664,28.017241379310345,Native AV,36.002604166666664,1.0,36.002604166666664
omnivinci,OmniVinci,2000,595,29.75,29.99703543216497,263,0,263,200,90,33,39,38,128,72,64.5,73.17073170731707,70.3125,71.71314741035857,62.03107034947459,0,0,0,90,90,70.3125,38.51851851851852,31.944444444444443,45.27777777777778,27.083333333333332,38.51851851851852,Native AV,40.8203125,1.0,40.8203125
vita_1_5,VITA-1.5,2000,641,32.05,31.379389099281752,1,0,1,200,113,54,18,15,128,72,65.5,67.66467065868264,88.28125,76.61016949152543,55.44794188861986,0,0,0,113,113,88.28125,49.926253687315636,43.87905604719764,55.75221238938053,44.07552083333334,49.926253687315636,Native AV,48.372395833333336,1.0,48.372395833333336
baichuan_omni_1_5,Baichuan-Omni-1.5,2000,449,22.45,11.596360589461232,0,0,0,200,16,5,57,74,128,72,36.5,76.19047619047619,12.5,21.476510067114095,38.817072767547195,48,0,48,16,16,12.5,19.270833333333336,10.416666666666668,29.6875,2.408854166666667,19.270833333333336,Native AV,18.359375,1.0,18.359375
