model,modality,task,n,accuracy,correct,yes_gold,yes_pred,failures,invalid
baichuan_omni_1_5,audio-only,when,200,0.395,79,128,125,0,
baichuan_omni_1_5,audio-only,who,2000,0.234,468,,,0,0
baichuan_omni_1_5,video-only,when,200,0.07,14,128,0,0,
baichuan_omni_1_5,video-only,who,2000,0.2715,543,,,0,0
gpt4o,frames-only,when,200,0.36,72,128,0,0,
gpt4o,frames-only,who,2000,0.305,610,,,11,16
gpt4o,transcript-only,when,200,0.565,113,128,93,0,
gpt4o,transcript-only,who,2000,0.3575,715,,,0,0
omnivinci,audio-only,when,200,0.215,43,128,29,66,
omnivinci,audio-only,who,2000,0.3435,687,,,0,0
omnivinci,video-only,when,200,0.2,40,128,32,74,
omnivinci,video-only,who,2000,0.283,566,,,0,88
qwen2_5_omni,audio-only,when,200,0.245,49,128,23,43,
qwen2_5_omni,audio-only,who,2000,0.4145,829,,,0,0
qwen2_5_omni,video-only,when,200,0.205,41,128,31,73,
qwen2_5_omni,video-only,who,2000,0.3305,661,,,0,0
qwen3_omni,audio-only,when,200,0.33,66,128,6,21,
qwen3_omni,audio-only,who,2000,0.7145,1429,,,0,0
qwen3_omni,video-only,when,200,0.3,60,128,12,36,
qwen3_omni,video-only,who,2000,0.3705,741,,,0,0
qwen3_omni_thinking,audio-only,unknown,2000,0.478,956,569,367,0,
qwen3_omni_thinking,audio-only,when,200,0.0,0,128,0,200,
qwen3_omni_thinking,audio-only,who,2000,0.478,956,,,0,71
qwen3_omni_thinking,video-only,unknown,2000,0.348,696,569,576,0,
qwen3_omni_thinking,video-only,when,200,0.0,0,128,0,200,
qwen3_omni_thinking,video-only,who,2000,0.348,696,,,0,7
vita_1_5,audio-only,when,200,0.605,121,128,133,0,
vita_1_5,audio-only,who,2000,0.3515,703,,,0,0
vita_1_5,audio-video,when,200,0.68,136,128,168,0,
vita_1_5,audio-video,who,2000,0.378,756,,,0,1
vita_1_5,video-only,when,200,0.66,132,128,178,0,
vita_1_5,video-only,who,2000,0.3195,639,,,0,1
