judge,reference_mode,positive_n,negative_n,auc,auc_gold_vs_shuffled,paired_margin_gold_vs_shuffled,gold_high_score_retention,paraphrase_high_score_retention,shuffled_high_score_false_positive_rate,generic_high_score_false_positive_rate,positive_mean,negative_mean,margin,mean_generic,mean_gold,mean_paraphrase,mean_shuffled
all-five-mean,reference-aware,236,256,0.9985103283898306,0.99920654296875,72.1875,1.0,0.9629629629629629,0.03125,0.0078125,96.12288135593221,32.71484375,63.40803760593221,38.4765625,99.140625,92.54629629629629,26.953125
all-five-mean,reference-free,236,256,0.3650109242584746,0.51287841796875,0.46875,0.0,0.0,0.0,0.0,31.610169491525422,36.796875,-5.186705508474578,43.3984375,30.6640625,32.73148148148148,30.1953125
claude-sonnet-4-6,reference-aware,236,256,0.9846398305084746,0.99609375,65.0390625,1.0,1.0,0.1015625,0.1328125,94.27966101694915,38.37890625,55.90075476694915,41.796875,100.0,87.5,34.9609375
claude-sonnet-4-6,reference-free,236,256,0.4860301906779661,0.4847412109375,-0.78125,0.0234375,0.027777777777777776,0.0234375,0.0078125,49.57627118644068,50.1953125,-0.6190413135593218,49.8046875,49.8046875,49.30555555555556,50.5859375
deepseek-v3.2,reference-aware,236,256,0.9773569915254238,0.99822998046875,71.875,0.9921875,0.9259259259259259,0.0546875,0.0859375,90.78389830508475,35.05859375,55.72530455508475,42.3828125,99.609375,80.32407407407408,27.734375
deepseek-v3.2,reference-free,236,256,0.4570395259533898,0.472259521484375,-1.953125,0.0078125,0.046296296296296294,0.03125,0.0,35.80508474576271,38.76953125,-2.964446504237287,42.578125,33.0078125,39.120370370370374,34.9609375
gemini_2_5_pro,reference-aware,236,256,0.9494339247881356,0.933685302734375,79.8828125,0.9609375,0.9629629629629629,0.1015625,0.015625,96.1864406779661,15.8203125,80.3661281779661,15.4296875,96.09375,96.29629629629629,16.2109375
gemini_2_5_pro,reference-free,236,256,0.4632961467161017,0.515594482421875,1.3671875,0.0078125,0.009259259259259259,0.0,0.0,2.1186440677966103,4.00390625,-1.8852621822033897,7.421875,1.953125,2.314814814814815,0.5859375
gpt4o,reference-aware,236,256,0.9952744306144068,0.99609375,75.0,1.0,1.0,0.078125,0.1796875,99.6822033898305,36.71875,62.963453389830505,48.4375,100.0,99.30555555555556,25.0
gpt4o,reference-free,236,256,0.4305895789194915,0.5096435546875,0.9765625,0.0390625,0.09259259259259259,0.046875,0.015625,28.91949152542373,36.1328125,-7.21332097457627,45.3125,27.9296875,30.09259259259259,26.953125
held-out-mean,reference-aware,236,256,0.9945130429025424,0.9998779296875,68.45703125,1.0,0.9444444444444444,0.03125,0.0390625,92.53177966101696,36.71875,55.813029661016955,42.08984375,99.8046875,83.91203703703704,31.34765625
held-out-mean,reference-free,236,256,0.4501373808262712,0.46435546875,-1.3671875,0.0,0.0,0.0,0.0,42.690677966101696,44.482421875,-1.7917439088983045,46.19140625,41.40625,44.21296296296296,42.7734375
primary-mean,reference-aware,236,256,0.9950923596398306,0.9930419921875,74.67447916666667,0.9609375,0.9629629629629629,0.0546875,0.0234375,98.51694915254237,30.045572916666668,68.4713762358757,36.067708333333336,98.69791666666667,98.30246913580247,24.0234375
primary-mean,reference-free,236,256,0.3658054157838983,0.530364990234375,1.6927083333333335,0.0,0.009259259259259259,0.0,0.0,24.22316384180791,31.673177083333332,-7.450013241525422,41.536458333333336,23.502604166666668,25.07716049382716,21.809895833333332
qwen3_omni,reference-aware,236,256,0.97802734375,0.97265625,69.140625,1.0,0.9907407407407407,0.2109375,0.3359375,99.6822033898305,37.59765625,62.084547139830505,44.3359375,100.0,99.30555555555556,30.859375
qwen3_omni,reference-free,236,256,0.3678578522245763,0.52496337890625,2.734375,0.28125,0.35185185185185186,0.25,0.875,41.63135593220339,54.8828125,-13.251456567796609,71.875,40.625,42.824074074074076,37.890625
