calibration_id,model,item_id
CAL-001,qwen3_omni_thinking,video_0057
CAL-002,baichuan_omni_1_5,video_0002
CAL-003,omnivinci,video_0074
CAL-004,qwen3_omni,video_0174
CAL-005,gemini_3_pro_preview,video_0032
CAL-006,gemini_3_pro_preview,video_0064
CAL-007,omnivinci,video_0171
CAL-008,vita_1_5,video_0088
CAL-009,qwen3_omni_thinking,video_0019
CAL-010,vita_1_5,video_0174
CAL-011,vita_1_5,video_0038
CAL-012,vita_1_5,video_0050
CAL-013,gemini_2_5_pro,video_0001
CAL-014,qwen2_5_omni,video_0112
CAL-015,qwen3_omni,video_0018
CAL-016,qwen3_omni,video_0112
CAL-017,gemini_2_5_flash,video_0092
CAL-018,gemini_2_5_pro,video_0012
CAL-019,qwen3_omni,video_0024
CAL-020,qwen2_5_omni,video_0016
CAL-021,baichuan_omni_1_5,video_0014
CAL-022,omnivinci,video_0054
CAL-023,vita_1_5,video_0037
CAL-024,omnivinci,video_0152
CAL-025,vita_1_5,video_0186
CAL-026,gemini_3_flash_preview,video_0066
CAL-027,qwen3_omni_thinking,video_0148
CAL-028,qwen3_omni_thinking,video_0066
CAL-029,vita_1_5,video_0030
CAL-030,qwen2_5_omni,video_0147
CAL-031,gemini_2_5_flash,video_0137
CAL-032,gemini_3_pro_preview,video_0174
CAL-033,qwen2_5_omni,video_0116
CAL-034,gemini_3_flash_preview,video_0180
CAL-035,qwen3_omni,video_0038
CAL-036,omnivinci,video_0098
CAL-037,omnivinci,video_0018
CAL-038,gemini_2_5_flash,video_0148
CAL-039,qwen3_omni,video_0158
CAL-040,qwen3_omni,video_0028
CAL-041,omnivinci,video_0106
CAL-042,gemini_3_pro_preview,video_0048
CAL-043,gemini_3_flash_preview,video_0056
CAL-044,qwen2_5_omni,video_0187
CAL-045,vita_1_5,video_0014
CAL-046,qwen3_omni_thinking,video_0162
CAL-047,qwen3_omni,video_0047
CAL-048,vita_1_5,video_0064
CAL-049,gemini_2_5_pro,video_0193
CAL-050,gemini_3_flash_preview,video_0001
CAL-051,omnivinci,video_0148
CAL-052,gemini_3_pro_preview,video_0098
CAL-053,vita_1_5,video_0116
CAL-054,qwen3_omni_thinking,video_0055
CAL-055,gemini_2_5_pro,video_0183
CAL-056,gemini_3_pro_preview,video_0055
CAL-057,qwen3_omni_thinking,video_0132
CAL-058,qwen3_omni,video_0184
CAL-059,gemini_2_5_pro,video_0093
CAL-060,qwen2_5_omni,video_0194
CAL-061,gemini_2_5_flash,video_0174
CAL-062,gemini_2_5_pro,video_0176
CAL-063,qwen3_omni,video_0113
CAL-064,vita_1_5,video_0158
CAL-065,vita_1_5,video_0028
CAL-066,baichuan_omni_1_5,video_0140
CAL-067,qwen3_omni_thinking,video_0161
CAL-068,vita_1_5,video_0039
CAL-069,qwen3_omni,video_0176
CAL-070,omnivinci,video_0028
CAL-071,qwen3_omni_thinking,video_0077
CAL-072,gemini_2_5_flash,video_0032
CAL-073,qwen2_5_omni,video_0097
CAL-074,omnivinci,video_0053
CAL-075,gemini_3_flash_preview,video_0184
CAL-076,gemini_2_5_pro,video_0053
CAL-077,vita_1_5,video_0115
CAL-078,gemini_2_5_pro,video_0139
CAL-079,qwen3_omni_thinking,video_0176
CAL-080,gemini_2_5_flash,video_0093
CAL-081,omnivinci,video_0143
CAL-082,omnivinci,video_0129
CAL-083,omnivinci,video_0112
CAL-084,omnivinci,video_0051
CAL-085,gemini_3_pro_preview,video_0111
