model,n,q_ensemble_mean,human_mean,difference,human_rank,llm_rank,rank_shift,human_tier,llm_tier
qwen3_omni_thinking,19,64.03508771929825,61.40350877192983,2.6315789473684177,1,1,0,strong,strong
qwen3_omni,23,46.3768115942029,40.21739130434782,6.159420289855078,2,2,0,moderate,moderate
omnivinci,25,35.66666666666667,35.66666666666667,0.0,3,4,1,moderate,moderate
qwen2_5_omni,25,34.0,32.333333333333336,1.6666666666666643,4,5,1,moderate,moderate
gemini_3_pro_preview,15,22.77777777777778,26.11111111111111,-3.333333333333332,5,6,1,moderate,poor
gemini_2_5_flash,18,17.592592592592595,17.129629629629633,0.4629629629629619,6,9,3,poor,poor
gemini_2_5_pro,19,16.666666666666668,16.2280701754386,0.43859649122806843,7,10,3,poor,poor
gemini_3_flash_preview,16,20.833333333333336,15.625,5.208333333333336,8,7,1,poor,poor
vita_1_5,29,41.66666666666667,10.919540229885058,30.747126436781613,9,3,6,poor,moderate
baichuan_omni_1_5,11,18.93939393939394,10.606060606060607,8.333333333333334,10,8,2,poor,poor
