calibration_id,model,item_id,candidate_hash,q_ensemble,human1_score,human2_score,human3_score,human_mean
CAL-001,qwen3_omni_thinking,video_0057,239d89ce7e22e9e4959a41f89b7e8e2c876f70e13ff8da45fefbefa6524bb743,91.66666666666667,100,75,100,91.66666666666667
CAL-002,baichuan_omni_1_5,video_0002,94376a2b538c3b3599dc7df0067b83fc2fdc53af22993930f5ddb130a8e0e65a,8.333333333333334,0,0,0,0.0
CAL-003,omnivinci,video_0074,f2ccb62c91c3879473af662dd2290761cfb861302e5fe5eec851590c79e9af4b,83.33333333333333,75,100,100,91.66666666666667
CAL-004,qwen3_omni,video_0174,22f44bebba4b4e3e6c37739ef399979b17b13a1ef56fefc4dda21d123cc0e559,8.333333333333334,25,0,25,16.666666666666668
CAL-005,gemini_3_pro_preview,video_0032,6cc929a3078de4d776e532ec632d9144dbb2e41dfeb9dd8c77d460ae9281c78b,0.0,25,0,25,16.666666666666668
CAL-006,gemini_3_pro_preview,video_0064,2ca6615af5dc6fae8ddacbfb0c435dbe27f890c1351004b2eb72e52eb2b73a9d,50.0,25,25,50,33.333333333333336
CAL-007,omnivinci,video_0171,832b4ab965f3c069b372c3b4895dc7f7c5a00f8f688993144eabea017a4cfa03,0.0,0,25,0,8.333333333333334
CAL-008,vita_1_5,video_0088,2ad13fd952403f04b9bcfe7fe3fa8a99d7b81f253d2aacedd406c09f8f5fa6f1,41.666666666666664,0,0,25,8.333333333333334
CAL-009,qwen3_omni_thinking,video_0019,29c13c1a8b2a77ebdd7f8b6fd2a47a82d8f1ffc7dbc50d1924c7e21b71d2b120,25.0,75,50,25,50.0
CAL-010,vita_1_5,video_0174,ed5a2283cf9516461697205cc4c7e7011968769484af69d2a4c4149728994cb0,16.666666666666668,0,0,25,8.333333333333334
CAL-011,vita_1_5,video_0038,87ca8dfd973169f849c5760485ea2b621442dc08a3dd33a619cccf4c92ad62cb,8.333333333333334,25,0,0,8.333333333333334
CAL-012,vita_1_5,video_0050,e701124b45fe6f1e4c3a35d7e90cbf0256278cea4482f60114c3ba25c4669599,25.0,0,0,25,8.333333333333334
CAL-013,gemini_2_5_pro,video_0001,72f7c031f33cc4fa504d2ebc227666a52c6f44c38faae8984ddfd4c0854b1202,25.0,25,25,50,33.333333333333336
CAL-014,qwen2_5_omni,video_0112,26a170547246885aaffd6689d093bfdd34397e31fc73b052480daeda9e284ca3,75.0,50,50,75,58.333333333333336
CAL-015,qwen3_omni,video_0018,8594f417bc8579aaf1fe4bc9f94a7e4b27b6e7b9915b3259cdcb9cd7e5a00dd4,50.0,0,25,25,16.666666666666668
CAL-016,qwen3_omni,video_0112,44d8d10f12bd6a2ff6a6952f8ac0d2902628ee8cef85bd52cef1c4eb32896c0b,16.666666666666668,75,75,50,66.66666666666667
CAL-017,gemini_2_5_flash,video_0092,ddb773fc455e46c68292b6851094f99bae842191716d7170107a569f42fc2f6e,8.333333333333334,0,25,0,8.333333333333334
CAL-018,gemini_2_5_pro,video_0012,dda3df6df268525b69af6a28bbf9899c1ddbbb18ac806ee51f74d3ffde6c7ce0,0.0,0,0,25,8.333333333333334
CAL-019,qwen3_omni,video_0024,55b4e03bd8bf7628fbb6a45cba877dd9e05b97055ccc64ed833c81799eeaf9f0,33.333333333333336,0,25,25,16.666666666666668
CAL-020,qwen2_5_omni,video_0016,d2cb6fb9e4b3aac2f818e6416fc53eb18dbf9721cffeafde578f006a068eb3c2,33.333333333333336,0,0,0,0.0
CAL-021,baichuan_omni_1_5,video_0014,4a0ad57afaa8decd153786a8f745d963e2e256e471720a39f2502691b3e422c1,16.666666666666668,0,25,0,8.333333333333334
CAL-022,omnivinci,video_0054,6443126d277b0b458fa9700ab6d5bae0745638cd3856781e566af1bee31fdfcb,16.666666666666668,25,0,25,16.666666666666668
CAL-023,vita_1_5,video_0037,1a8b0ebb50483e596fc7013441975db5af843b7533a5e18051605cebae574f8f,0.0,0,0,25,8.333333333333334
CAL-024,omnivinci,video_0152,fd823e1d6028e95d89cf226f1e2e40ee841cd5ad79b244ef51871895db56b17b,100.0,100,100,100,100.0
CAL-025,vita_1_5,video_0186,52724bf9aef75be8dd3d2e121333c37e72d394db277f69ffa21e31cb4a2dfb21,33.333333333333336,25,25,0,16.666666666666668
CAL-026,gemini_3_flash_preview,video_0066,e5ffefcc47a3927f94c99f8a567b435cc0351ce9047ebe0947b2edf3591de235,0.0,0,0,0,0.0
CAL-027,qwen3_omni_thinking,video_0148,cae0f1688e42a784e86ed7d7b410f44646acb8347bdf177a9105bd46d96c767d,100.0,100,100,100,100.0
CAL-028,qwen3_omni_thinking,video_0066,d4292ce58b7bda13a4b8be541c0ed3e49c6d9799b9a74a2f679b9ced52510b87,100.0,100,100,100,100.0
CAL-029,vita_1_5,video_0030,af4b24c28bf74afb5e669944028b1a6ee0e553e141b34425175f32985fd87adb,33.333333333333336,25,25,0,16.666666666666668
CAL-030,qwen2_5_omni,video_0147,024ce980871f9939c0934bda4bd6cd3fd75e53f011b646962fc8e3346d8cf00c,41.666666666666664,0,0,0,0.0
CAL-031,gemini_2_5_flash,video_0137,64625acc1f9c78d9ccc0e21ba1ab58363f447ce708e09930d017bcae17708e5d,16.666666666666668,25,0,0,8.333333333333334
CAL-032,gemini_3_pro_preview,video_0174,1fbb28019db39d42c47eac4239f22cdcb959d52d5e1cc520f23afeb9f5c60a2a,8.333333333333334,25,25,0,16.666666666666668
CAL-033,qwen2_5_omni,video_0116,aaa3073deb8efa36e951ae47108fba6c7225d3e0deb72eee5df46aebe6f50180,25.0,75,50,25,50.0
CAL-034,gemini_3_flash_preview,video_0180,bdb059f68be72e77a10f60eb9791b47f0941f45b3733dda35c4ddb3652823370,41.666666666666664,25,25,0,16.666666666666668
CAL-035,qwen3_omni,video_0038,efd3e48fc7d69e3eacba9741e0b39009b82daabe0b48c0690b4825cfb1d4a80c,0.0,50,25,50,41.666666666666664
CAL-036,omnivinci,video_0098,23b31e6bb325eaa9cce1a5bd7c9ecb79a10825306d4d5c39bd777b82d653a2ed,16.666666666666668,25,25,50,33.333333333333336
CAL-037,omnivinci,video_0018,9fb20e04be14a98ba05f4793b09043c5e0645bc5990bde550788f7e573d3c873,0.0,25,0,25,16.666666666666668
CAL-038,gemini_2_5_flash,video_0148,414d27c71df7584fc492604580e56d43eb9422d9098a51364d1db9edcc29fd7b,0.0,0,0,0,0.0
CAL-039,qwen3_omni,video_0158,a5a9a3ce1e6b2eea570184f09eeb988cc1e85b240428173bdebfc056966028c6,16.666666666666668,25,25,0,16.666666666666668
CAL-040,qwen3_omni,video_0028,e016ba14f84f4e69c956951d6c5d8fe99ffe2126c7fd539680cb2b9d87aecd4d,25.0,25,0,25,16.666666666666668
CAL-041,omnivinci,video_0106,b7557dceb70723699a8165cb4c63b7e401b4cbafa34c2fe61f6603ec3455928e,8.333333333333334,25,0,25,16.666666666666668
CAL-042,gemini_3_pro_preview,video_0048,6bcbc679a78b0ed05f46eebef2bb961b43b189686dc44096ad6036ceaee30a43,16.666666666666668,25,0,25,16.666666666666668
CAL-043,gemini_3_flash_preview,video_0056,689bbeb08060ee77eb2631720405c4ef8097c6dba5c097af3791935f3f31ed6e,0.0,0,0,0,0.0
CAL-044,qwen2_5_omni,video_0187,6bb239f26e3dff332d62c9bf83db56bf0827976ba21b5fec93cc0dda688456e3,8.333333333333334,75,75,50,66.66666666666667
CAL-045,vita_1_5,video_0014,6a0a4d7ccb9f5b048372c865a7c0c70fe8367c81ec0e766d83fb14c0fa41be6a,0.0,25,0,0,8.333333333333334
CAL-046,qwen3_omni_thinking,video_0162,f3e41883bbca20297ba1acac17ee5e025aff4def9aaa88003ae36f67518547e0,83.33333333333333,50,0,25,25.0
CAL-047,qwen3_omni,video_0047,5e5bf8942b3b8242d8521b26a466c010ac6aaa69b10302375fe4b46d0a452ab1,33.333333333333336,0,25,25,16.666666666666668
CAL-048,vita_1_5,video_0064,d66f5920379968f25ce963248bca2b4d86e1d1465532acd7ed05972e2b9f2646,50.0,25,25,0,16.666666666666668
CAL-049,gemini_2_5_pro,video_0193,3b5a78d2c42578f9c219ffa5998af7f8f9f83708bc58fc46e3e4d0984479a2ad,16.666666666666668,0,0,25,8.333333333333334
CAL-050,gemini_3_flash_preview,video_0001,742de6a543834b56b1a0e48bc79b21027c7b6fd2714c8866053783e56f231753,16.666666666666668,0,25,25,16.666666666666668
