calibration_id,human1_score,human2_score,human3_score
CAL-001,100,75,100
CAL-002,0,0,0
CAL-003,75,100,100
CAL-004,25,0,25
CAL-005,25,0,25
CAL-006,25,25,50
CAL-007,0,25,0
CAL-008,0,0,25
CAL-009,75,50,25
CAL-010,0,0,25
CAL-011,25,0,0
CAL-012,0,0,25
CAL-013,25,25,50
CAL-014,50,50,75
CAL-015,0,25,25
CAL-016,75,75,50
CAL-017,0,25,0
CAL-018,0,0,25
CAL-019,0,25,25
CAL-020,0,0,0
CAL-021,0,25,0
CAL-022,25,0,25
CAL-023,0,0,25
CAL-024,100,100,100
CAL-025,25,25,0
CAL-026,0,0,0
CAL-027,100,100,100
CAL-028,100,100,100
CAL-029,25,25,0
CAL-030,0,0,0
CAL-031,25,0,0
CAL-032,25,25,0
CAL-033,75,50,25
CAL-034,25,25,0
CAL-035,50,25,50
CAL-036,25,25,50
CAL-037,25,0,25
CAL-038,0,0,0
CAL-039,25,25,0
CAL-040,25,0,25
CAL-041,25,0,25
CAL-042,25,0,25
CAL-043,0,0,0
CAL-044,75,75,50
CAL-045,25,0,0
CAL-046,50,0,25
CAL-047,0,25,25
CAL-048,25,25,0
CAL-049,0,0,25
CAL-050,0,25,25
CAL-051,25,25,50
CAL-052,25,0,25
CAL-053,0,25,0
CAL-054,100,100,75
CAL-055,0,0,0
CAL-056,0,25,25
CAL-057,100,100,100
CAL-058,0,25,0
CAL-059,0,0,25
CAL-060,25,0,0
CAL-061,0,0,0
CAL-062,0,25,0
CAL-063,100,75,100
CAL-064,25,0,25
CAL-065,0,0,0
CAL-066,0,25,25
CAL-067,25,0,25
CAL-068,25,0,25
CAL-069,0,25,0
CAL-070,25,25,0
CAL-071,25,25,0
CAL-072,0,0,0
CAL-073,50,25,75
CAL-074,75,50,75
CAL-075,0,0,0
CAL-076,0,0,25
CAL-077,0,25,25
CAL-078,0,25,0
CAL-079,100,100,100
CAL-080,25,50,25
CAL-081,25,50,50
CAL-082,0,25,25
CAL-083,0,0,0
CAL-084,25,0,50
CAL-085,0,25,0
CAL-086,0,25,25
CAL-087,0,0,25
CAL-088,0,25,25
CAL-089,100,100,75
CAL-090,0,0,0
CAL-091,25,25,0
CAL-092,100,50,75
CAL-093,0,0,0
CAL-094,0,25,0
CAL-095,25,0,0
CAL-096,25,25,0
CAL-097,0,25,0
CAL-098,0,0,25
CAL-099,25,25,0
CAL-100,25,25,0
CAL-101,50,25,75
CAL-102,0,0,0
CAL-103,25,25,25
CAL-104,0,25,0
CAL-105,50,25,25
CAL-106,25,50,25
CAL-107,25,50,25
CAL-108,0,0,0
CAL-109,25,50,25
CAL-110,25,25,25
CAL-111,0,0,0
CAL-112,0,0,0
CAL-113,75,50,25
CAL-114,75,75,50
CAL-115,25,25,25
CAL-116,0,0,0
CAL-117,0,0,0
CAL-118,25,25,0
CAL-119,75,50,100
CAL-120,25,50,0
CAL-121,0,25,0
CAL-122,25,25,25
CAL-123,0,25,0
CAL-124,75,100,100
CAL-125,25,50,25
CAL-126,0,25,25
CAL-127,25,50,25
CAL-128,25,0,50
CAL-129,0,0,25
CAL-130,0,25,25
CAL-131,25,0,0
CAL-132,25,0,25
CAL-133,100,100,100
CAL-134,0,0,25
CAL-135,25,0,0
CAL-136,75,75,50
CAL-137,0,0,0
CAL-138,0,0,0
CAL-139,100,75,75
CAL-140,50,75,75
CAL-141,0,0,0
CAL-142,25,0,25
CAL-143,0,0,25
CAL-144,0,25,0
CAL-145,25,0,0
CAL-146,0,25,25
CAL-147,0,25,25
CAL-148,25,0,25
CAL-149,25,25,0
CAL-150,25,0,0
CAL-151,100,75,75
CAL-152,50,50,0
CAL-153,0,0,25
CAL-154,25,0,25
CAL-155,0,0,0
CAL-156,75,50,75
CAL-157,25,25,25
CAL-158,0,0,0
CAL-159,25,25,25
CAL-160,25,25,0
CAL-161,25,50,25
CAL-162,0,0,0
CAL-163,75,100,75
CAL-164,50,75,50
CAL-165,25,0,25
CAL-166,50,50,25
CAL-167,0,0,0
CAL-168,75,75,100
CAL-169,50,50,25
CAL-170,0,25,0
CAL-171,50,25,50
CAL-172,100,100,100
CAL-173,0,0,25
CAL-174,50,25,50
CAL-175,25,50,25
CAL-176,75,100,75
CAL-177,0,0,0
CAL-178,25,0,25
CAL-179,75,100,75
CAL-180,0,0,25
CAL-181,50,50,25
CAL-182,0,0,25
CAL-183,25,0,25
CAL-184,0,0,25
CAL-185,25,25,25
CAL-186,0,0,0
CAL-187,75,75,75
CAL-188,0,25,25
CAL-189,0,0,25
CAL-190,75,50,75
CAL-191,25,0,25
CAL-192,25,25,0
CAL-193,0,0,25
CAL-194,25,50,25
CAL-195,75,50,50
CAL-196,100,100,100
CAL-197,50,75,50
CAL-198,0,0,0
CAL-199,0,25,25
CAL-200,100,100,100
